word,part_of_speech,definition
blithe,adjective,adjective: lacking or showing a lack of due concern; carefree and happy and lighthearted
bloviated,adjective,adjective: orate verbosely and windily
bludgeon,noun,noun: club; heavy-headed weapon
bogus,adjective,adjective: counterfeit; not authentic; intentionally false
boisterous,adjective,adjective: violent; rough; noisy
bolster,verb,verb: support; reinforce
bombast,noun,"noun: grandiloquent, pompous speech"
bombastic,adjective,adjective: pompous; using inflated language
bonhomie,noun,noun: cheerful friendliness; genial good nature
boon,noun,noun: blessing; benefit; something very helpful
boor,noun,"noun: rude, insensitive person"
boorish,noun,noun: rude; insensitive
bootless,adjective,adjective: unproductive of success
bowdlerize,noun,noun: expurgate
brandish,verb,verb: wave around (a weapon); flourish
bravado,noun,noun: swagger; assumed air of defiance; false show of bravery
brazen,adjective,adjective: insolent; without shame; bold
brevity,noun,noun: conciseness; shortness of duration
bridle,verb,verb: harness fitted about a horse's head (used to restrain); curb; check
bristle,noun,noun: short stiff hair
broach,noun,noun: introduce as a subject; moot; open up
broadside,noun; adverb; verb,noun; adverb; verb: a strong verbal attack; the side of a ship; sideways; to collide with or attack from the side
bromide,noun,noun: platitude; chemical compound used to calm excitement
brook,verb,verb: tolerate; endure
browbeat,verb,verb: bully; intimidate
brusque,adjective,adjective: blunt; abrupt; curt; not wanting to waste time being nice
brusquely,adverb,adverb: in a blunt direct manner
buck,noun,noun: a gymnastic horse without pommels and with one end elongated; used lengthwise for vaulting; a piece of paper money worth one dollar
bucolic,adjective,adjective: rustic; pastoral
buff,noun,noun: of the yellowish-beige color of buff leather; an ardent follower and admirer
buffer,noun; verb; adjective,noun; verb; adjective: something that lessens shock or protects; to protect or cushion; pale yellowish-beige
bugbear,noun,noun: an imaginary monster used to frighten children; an object of dread or apprehension
bulwark,noun,noun: strong wall built for defense; earthwork or other strong defense; person who defends
bumbling,adjective; verb,"adjective; verb: lacking physical movement skills, especially with the hands; make a mess of, destroy or ruin"
bumptious,adjective,adjective: offensively self-assertive
bungle,noun,noun: mismanage; blunder; botch; blow
buoyant,adjective,adjective: able to float; cheerful and optimistic
burdensome,adjective,adjective: not easily borne; wearing
bureaucracy,noun,noun: overregulated administrative system marked by red tape
burgeon,verb,verb: grow rapidly; grow forth; send out buds
burgeoning,verb,verb: grow and flourish
burnish,verb,verb: make shiny by rubbing; polish
buttress,verb,verb: support; prop up
bygone,noun,noun: well in the past; former; past events to be put aside
byzantine,adjective,adjective: of or relating to the Eastern Orthodox Church or the rites performed in it; of or relating to or characteristic of the Byzantine Empire or the ancient city of Byzantium
cabal,adjective,adjective: small group of persons secretly united to promote their own interests
cache,noun,noun: hiding place
cachinnate,verb,"verb: To laugh hard, loudly, or convulsively; guffaw."
cacophonous,adjective,adjective: discordant; inharmonious
cacophony,noun,noun: a loud harsh or strident noise; loud confusing disagreeable sounds
cadaverous,adjective,adjective: like a corpse; pale
cadge,verb,verb: ask for and get free; be a parasite; obtain or seek to obtain by cadging or wheedling
cajole,verb,verb: persuade by praise or false promise; coax; wheedle
calamitous,adjective,"adjective: disastrous; causing great damage, distress, or suffering"
callous,adjective,adjective: hardened; unfeeling; without sympathy for the sufferings of others; unkind
callow,noun,noun: youthful; immature; inexperienced
calumniate,verb,verb: charge falsely or with malicious intent; attack the good name and reputation of someone
calumnious,adjective,adjective: slanderous; making false and harmful statements about someone
calumny,noun,noun: malicious misrepresentation; slander
camaraderie,noun,noun: good-fellowship
canard,noun,noun: unfounded false rumor; exaggerated false report
candid,adjective,adjective: characterized by directness in manner or speech; without subtlety or evasion; informal or natural; especially caught off guard or unprepared
candidness,noun,noun: the quality of being honest and straightforward in attitude and speech
candor,noun,noun: frankness; open honesty
canny,noun,noun: shrewd in money matters; thrifty
canon,noun,noun: a rule or especially body of rules or principles generally established as valid and fundamental in a field of art or philosophy; a priest who is a member of a cathedral chapter
canonical,adjective,adjective: appearing in a biblical canon; of or relating to or required by canon law
